neuron_id,soma_x,soma_y,soma_z,celltype,column,intersomatic_distance
428,631.868,-671.463,-1400.08,9,18,1452.2873447723766
542,471.849,-598.707,-1433.34,9,18,1351.098366945575
714,611.299,-509.746,-1398.45,9,18,1345.9684630205866
715,690.771,-473.93,-1400.21,9,18,1373.4974747606927
799,689.774,-424.843,-1403.58,9,18,1350.692871019167
870,247.247,-394.424,-1393.51,9,17,1115.225642503794
899,724.451,-373.473,-1411.7,9,18,1353.4622286251656
1639,641.768,270.215,-1396.62,9,11,1146.8748014190564
2893,821.876,-621.097,-1386.76,9,18,1523.8734332043457
3234,836.137,-483.32,-1345.15,9,18,1437.5846780158727
3568,754.83,-364.474,-1379.32,9,18,1348.5317435347972
3835,424.026,-173.25,-1360.64,9,14,1061.2455814602952
4270,623.369,65.888,-1342.22,9,11,1105.1130204544693
4272,653.423,37.17,-1373.44,9,11,1152.3554176338132
4336,475.849,122.262,-1351.11,9,11,1010.8540732380712
4484,511.306,191.745,-1361.01,9,11,1035.4571194086213
4491,591.719,205.682,-1370.62,9,11,1093.579168666814
4507,730.978,209.754,-1383.57,9,11,1198.4112532119348
4566,523.488,238.098,-1363.25,9,11,1044.2558137530286
4650,624.255,324.24,-1367.09,9,11,1116.7168537789694
7165,645.029,-597.956,-1337.05,9,18,1377.979593341643
7547,561.978,-471.401,-1336.85,9,18,1259.0201329565782
7552,599.817,-478.256,-1320.03,9,18,1273.4752319169777
7904,765.341,-404.086,-1300.41,9,18,1326.6195146966595
8036,598.584,-328.463,-1328.3,9,18,1201.825699542991
8037,648.507,-330.925,-1304.78,9,18,1218.8030925998669
8041,645.953,-342.122,-1299.1,9,18,1218.8210750319342
8428,140.002,-177.245,-1312.86,9,13,907.1097570889643
8855,145.656,-46.692,-1297.98,9,13,845.6043324634754
9279,451.531,115.267,-1292.67,9,11,950.7078326357683
9310,679.143,104.666,-1303.61,9,11,1112.1111003411486
9420,555.023,165.689,-1337.8,9,11,1046.3027313712796
9532,586.473,223.332,-1321.14,9,11,1052.9569127490452
9557,754.07,204.269,-1290.58,9,11,1152.8280483810238
9611,190.338,229.114,-1296.26,9,10,815.0991069465111
9662,741.693,245.195,-1309.7,9,11,1155.9571551727165
9663,710.648,265.572,-1334.19,9,11,1150.0937595174578
9741,474.438,326.345,-1326.33,9,11,990.0425957654548
9748,517.782,306.199,-1308.14,9,11,1001.1064253944234
10159,443.213,489.328,-1316.02,9,7,993.5304046087366
10344,404.318,606.322,-1304.61,9,7,1001.1723503578191
13077,791.09,-669.574,-1252.57,9,18,1463.3043194636582
13554,622.797,-536.126,-1261.75,9,18,1285.8348446849618
13573,745.006,-558.817,-1279.78,9,18,1382.8321606059067
13809,656.798,-483.08,-1254.35,9,18,1271.52081644187
13819,760.216,-494.998,-1269.12,9,18,1351.7671192350404
13939,-112.196,-463.015,-1269.29,9,16,999.9945557781801
14963,503.636,-258.735,-1276.19,9,18,1079.2107089878232
15121,5.108,-176.844,-1248.19,9,13,821.0784487836714
15126,68.222,-186.419,-1278.06,9,13,863.2742747458655
15133,132.227,-196.881,-1268.59,9,13,876.8855082227097
15326,-25.943,-168.068,-1249.02,9,13,813.1846510860863
15332,20.112,-121.075,-1273.77,9,13,820.4572620350191
15350,149.612,-151.796,-1273.9,9,13,865.9094720125194
15541,-72.675,-88.501,-1243.97,9,13,768.6486514520142
15543,25.474,-94.898,-1243.94,9,13,783.9853419656519
15544,92.235,-88.562,-1251.06,9,13,803.1781099146066
15547,83.986,-110.672,-1285.94,9,13,840.5288624556566
15548,104.935,-77.981,-1262.69,9,13,812.8916088501591
15573,313.816,-79.613,-1251.48,9,14,886.1492081416087
15591,459.345,-103.488,-1285.13,9,14,998.9313332206575
15753,128.085,-60.429,-1282.2,9,13,830.6643538824812
15966,392.534,16.654,-1270.42,9,14,915.4637882958561
16003,571.694,-6.542,-1260.98,9,11,1025.685599252032
16130,57.186,61.189,-1258.36,9,13,754.8508503631693
16325,132.381,94.282,-1260.86,9,10,772.365447175105
16348,311.328,104.934,-1249.16,9,10,837.3571529072884
16513,169.87,136.078,-1243.02,9,10,763.362828909687
16537,392.589,163.39,-1240.94,9,10,869.6933965979046
16542,430.528,129.87,-1271.91,9,11,920.023032192673
16699,262.724,204.138,-1270.14,9,10,822.8341681365694
16723,456.523,207.803,-1273.35,9,11,932.3088122864655
16759,735.172,195.925,-1270.54,9,11,1125.6501436707588
16843,73.547,258.617,-1238.63,9,10,722.6574492987671
16906,625.194,274.554,-1253.96,9,11,1033.343863523174
17023,386.192,300.063,-1252.67,9,7,876.3046139202966
17063,688.74,299.285,-1258.61,9,11,1084.7838945679457
17150,104.277,329.301,-1249.42,9,10,748.3909104759358
17155,158.524,345.91,-1277.26,9,10,794.7276860289944
17177,374.684,357.279,-1270.99,9,7,891.2664449792778
17352,630.271,390.218,-1261.04,9,11,1053.6634117620295
17561,175.98,523.359,-1277.17,9,7,846.0393249217203
17836,269.303,603.566,-1279.87,9,7,915.8074981250153
21279,550.676,-664.541,-1203.51,9,18,1297.2216990607274
21336,894.014,-627.537,-1192.49,9,18,1478.2835267830053
22365,737.799,-507.768,-1202.12,9,18,1309.221700554188
22649,501.657,-432.496,-1189.89,9,18,1114.4102328074703
22679,712.704,-438.503,-1191.65,9,18,1249.3753137956585
23867,468.105,-230.561,-1213.43,9,14,1003.4469976929524
24100,43.791,-185.202,-1199.01,9,13,791.0001842009899
24115,110.266,-174.359,-1211.46,9,13,812.4815919182415
24372,-72.328,-128.99,-1205.07,9,13,751.6839058680184
24373,-69.54,-151.462,-1190.57,9,13,750.2169063284297
24374,-100.897,-128.266,-1237.88,9,13,778.9636561419283
24375,-67.453,-124.068,-1199.02,9,13,744.4026464770259
24377,-39.285,-125.413,-1198.2,9,13,746.999712339302
24391,92.662,-158.739,-1192.39,9,13,784.117396030722
24404,148.742,-158.164,-1201.73,9,13,808.7547320745641
24420,285.088,-140.641,-1191.27,9,14,848.750785666794
24644,-110.968,-75.399,-1207.0,9,13,727.9431596340472
24650,-61.058,-101.031,-1203.16,9,13,738.0761323644059
24659,-28.562,-113.727,-1206.44,9,13,750.147822273717
24661,-1.997,-119.561,-1214.0,9,13,763.2713045012239
24668,45.117,-104.634,-1204.12,9,13,757.0471287826141
24669,69.108,-111.619,-1197.29,9,13,759.9540030041292
24670,93.814,-115.886,-1237.23,9,13,802.7135036867139
24919,-180.563,-61.113,-1197.31,9,13,715.3485284160441
24935,-24.384,-39.269,-1207.44,9,13,721.0121358104869
24940,10.714,-38.352,-1227.85,9,13,745.0570916198301
24943,4.65,-32.296,-1225.22,9,13,739.4307577785767
24956,123.798,-50.426,-1227.87,9,13,777.8264470336554
24961,165.619,-40.319,-1211.46,9,13,774.5212036626241
24963,164.506,-52.04,-1210.55,9,13,777.4314160290925
25014,499.101,-23.32,-1201.92,9,14,939.7628244583843
25216,120.61,20.585,-1232.23,9,13,758.4473336587057
25222,148.994,2.196,-1218.14,9,13,760.6951135987401
25449,-103.876,76.937,-1214.51,9,13,686.7395819974264
25450,-70.653,38.186,-1188.42,9,13,672.9255021159476
25452,-63.058,63.023,-1206.04,9,13,684.1124172517262
25464,15.704,70.704,-1234.73,9,13,721.2687909794795
25468,49.552,47.458,-1226.16,9,13,725.8444133924296
25470,65.844,59.259,-1212.86,9,13,714.6735789337674
25473,129.023,69.522,-1190.2,9,13,711.1258206013898
25482,157.269,50.656,-1209.64,9,13,743.3388509004491
25493,245.878,65.851,-1196.97,9,10,767.1638288540461
25560,676.457,59.334,-1198.03,9,11,1047.064930596952
25703,-90.602,118.428,-1216.6,9,13,681.5517601158402
25714,18.131,128.191,-1229.25,9,13,706.2997577877256
25737,238.05,81.935,-1233.08,9,10,791.4242208158655
25743,255.165,90.234,-1230.75,9,10,795.9467856672329
25817,708.467,108.167,-1216.57,9,11,1076.734009246016
25840,807.878,120.842,-1194.05,9,11,1141.1618071075636
25939,28.137,168.955,-1233.75,9,13,708.3118865944577
25948,91.823,139.266,-1215.93,9,10,710.7717482722566
25961,192.575,161.558,-1188.93,9,10,721.1324082899063
25990,437.998,140.056,-1234.06,9,11,894.0358923426955
26047,703.569,171.748,-1189.03,9,11,1050.7373860380146
26159,-70.692,224.223,-1191.7,9,9,649.5297139330887
26161,-45.569,180.573,-1195.51,9,9,657.4224230819938
26171,69.133,200.452,-1198.71,9,10,682.8099093788842
26181,153.544,204.204,-1237.05,9,10,746.658904159724
26191,284.241,188.695,-1212.23,9,10,783.8262593579013
26202,354.37,183.649,-1225.47,9,10,833.5946503751089
26237,550.844,191.967,-1196.95,9,11,939.6598102515612
26240,596.256,204.402,-1217.22,9,11,986.1715166668524
26365,-61.312,239.572,-1190.27,9,9,649.0955466192939
26367,-7.513,235.248,-1191.93,9,9,658.0706670092507
26368,-45.347,242.635,-1197.4,9,9,657.9897070889484
26369,-4.629,276.464,-1220.43,9,9,688.4362044474419
26371,-5.811,235.348,-1205.59,9,9,671.8161560858744
26384,167.77,257.504,-1227.36,9,10,743.5235008451313
26452,642.9,242.131,-1205.01,9,11,1012.6570094291552
26577,95.375,320.76,-1222.88,9,10,719.5011503771208
26615,399.432,282.112,-1235.34,9,10,868.9140696162077
26624,465.557,302.279,-1215.39,9,11,896.7582647575657
26628,522.857,328.351,-1235.68,9,11,952.5666011586802
26757,-79.99,373.468,-1200.86,9,9,674.3456543798587
26762,-0.57,373.368,-1210.36,9,9,693.2836627679899
26763,28.24,345.256,-1213.22,9,9,696.3592867198656
26768,46.599,339.727,-1210.51,9,9,697.1013752009101
26809,403.532,367.398,-1201.05,9,7,854.4037550555357
26816,458.049,341.811,-1205.68,9,11,888.8481369519768
26858,721.191,345.474,-1202.44,9,11,1078.1624934925162
27037,619.848,413.753,-1218.19,9,11,1021.4200539063252
27040,616.38,390.857,-1236.18,9,11,1026.9516234613975
27045,649.56,386.511,-1189.59,9,11,1020.3846967619614
27128,-85.816,455.119,-1200.86,9,9,696.4557672573326
27172,298.843,474.067,-1218.61,9,7,833.9019548909811
27222,631.069,432.079,-1199.51,9,11,1021.044204592044
27349,317.669,510.219,-1192.1,9,7,834.2078474642875
27369,471.22,526.561,-1208.93,9,7,941.754130495853
27952,369.926,681.616,-1189.63,9,7,931.9565960821352
31847,836.532,-643.467,-1144.0,9,18,1427.7535046701864
32298,800.429,-609.419,-1155.82,9,18,1388.0492431333262
32713,679.139,-549.377,-1173.97,9,18,1281.7487889454
32997,-245.814,-494.565,-1166.17,9,16,959.2499854438363
33033,32.045,-487.652,-1145.24,9,16,945.7334139523675
33120,510.023,-513.468,-1152.85,9,18,1148.547955649219
33135,618.875,-503.741,-1167.91,9,18,1213.8377655597144
33864,-465.399,-408.133,-1166.46,9,23,951.3165724589265
34044,609.3,-381.41,-1163.34,9,18,1135.8133726405056
34048,649.391,-390.673,-1143.13,9,18,1156.3891947415455
34354,-97.799,-343.585,-1178.09,9,16,852.2883588662935
34447,506.298,-325.766,-1158.01,9,18,1038.5031710230835
34919,720.177,-273.031,-1166.22,9,18,1161.3742932797334
34943,830.124,-292.425,-1140.27,9,18,1238.840620267999
35287,499.607,-268.485,-1187.64,9,18,1023.4422800974171
35594,100.197,-203.156,-1154.82,9,13,779.1128938902243
35884,-568.442,-153.029,-1145.7,9,23,837.9544545033459
35910,-261.527,-122.146,-1145.95,9,12,708.2921342991182
35942,-34.044,-160.44,-1160.84,9,13,733.0063510018176
35974,160.877,-126.261,-1150.84,9,13,757.0145203435663
36013,381.029,-170.14,-1155.31,9,14,886.2379549680774
36043,534.752,-130.179,-1148.5,9,14,962.3586670145388
36265,-155.2,-71.01,-1157.68,9,13,681.9941857149518
36282,29.932,-110.313,-1145.43,9,13,705.6860133813055
36286,77.933,-117.541,-1178.68,9,13,749.0663072886139
36287,92.602,-86.675,-1168.7,9,13,731.0633552613617
36302,157.164,-93.371,-1149.04,9,13,739.4009539525898
