x,y,z,neuron_id,column,celltype
-153.982,205.739,-399.892,428,18,9
-158.817,255.49,-501.233,542,18,9
-137.63,266.039,-594.723,714,18,9
-146.474,281.777,-601.306,715,18,9
-127.019,255.659,-629.072,799,18,9
-139.838,273.086,-661.945,870,17,9
-165.537,203.111,-376.992,899,18,9
20.332,93.809,-556.617,1639,11,9
-191.861,262.126,-540.753,2893,18,9
-145.952,281.166,-600.281,3234,18,9
-148.19,299.0,-620.844,3568,18,9
-35.712,317.886,-338.004,3835,14,9
-88.92,141.213,-561.955,4270,11,9
-178.567,354.601,-646.319,4272,11,9
-116.669,225.889,-519.911,4336,11,9
-110.971,210.005,-513.303,4484,11,9
-69.188,235.211,-580.98,4491,11,9
-77.333,70.088,-643.364,4507,11,9
-124.861,247.652,-510.75,4566,11,9
-77.03,126.325,-613.211,4650,11,9
-184.085,263.274,-543.591,7165,18,9
-115.418,250.968,-575.939,7547,18,9
-158.447,254.688,-500.523,7552,18,9
-146.223,294.908,-620.171,7904,18,9
-177.485,244.111,-466.468,7904,18,9
-181.635,279.026,-545.343,8036,18,9
-115.254,254.266,-576.689,8037,18,9
-185.897,233.235,-519.485,8041,18,9
-157.418,314.219,-624.223,8428,13,9
-128.696,263.466,-511.588,8855,13,9
-275.728,281.658,-500.152,9279,11,9
-79.273,348.842,-586.492,9310,11,9
-3.59,193.646,-601.246,9420,11,9
9.336,178.273,-629.241,9532,11,9
-190.177,363.232,-642.785,9557,11,9
-187.72,330.716,-581.013,9611,10,9
-15.339,225.894,-586.111,9662,11,9
-44.773,231.325,-582.135,9662,11,9
-84.201,326.727,-582.413,9663,11,9
25.006,238.486,-598.048,9663,11,9
-148.076,216.404,-518.055,9741,11,9
-129.985,207.246,-520.995,9748,11,9
-185.307,266.445,-621.79,10159,7,9
-279.153,276.209,-562.471,10344,7,9
-167.31,203.144,-375.891,13077,18,9
-142.74,274.793,-666.568,13554,18,9
-158.942,203.591,-443.872,13573,18,9
-161.663,204.537,-379.661,13573,18,9
-132.106,260.827,-641.86,13809,18,9
-160.581,269.151,-526.886,13819,18,9
-116.698,73.034,-638.546,13939,16,9
-166.22,244.695,-451.156,14963,18,9
-23.045,196.597,-418.066,15121,13,9
15.368,185.612,-582.694,15126,13,9
-153.376,309.279,-623.344,15133,13,9
-81.258,122.361,-560.314,15326,13,9
-10.265,308.678,-611.899,15326,13,9
-180.983,299.152,-661.376,15332,13,9
-49.033,265.09,-556.485,15350,13,9
-31.515,195.109,-419.351,15541,13,9
-2.149,191.086,-635.93,15543,13,9
-121.179,124.898,-587.092,15544,13,9
-24.084,137.256,-540.688,15547,13,9
-84.415,131.353,-561.484,15548,13,9
-25.499,292.349,-543.283,15548,13,9
-45.398,314.684,-334.608,15573,14,9
5.67,250.72,-526.971,15591,14,9
-144.148,278.181,-599.454,15753,13,9
-146.055,306.316,-496.604,15966,14,9
-114.276,208.735,-507.538,16003,11,9
-97.9,105.535,-446.347,16130,13,9
-91.886,146.402,-405.353,16130,13,9
-41.05,148.202,-535.582,16325,10,9
-30.47,195.273,-419.63,16348,10,9
-178.345,207.914,-604.32,16513,10,9
-40.449,196.591,-416.553,16537,10,9
-67.418,104.886,-629.701,16542,11,9
-94.861,206.452,-384.071,16699,10,9
-73.846,114.955,-620.615,16723,11,9
-188.58,363.678,-644.71,16759,11,9
-162.581,242.314,-615.668,16843,10,9
26.025,241.229,-599.362,16906,11,9
-175.675,258.01,-629.086,17023,7,9
-201.502,272.696,-537.071,17063,11,9
-1.028,118.732,-549.524,17150,10,9
-181.927,310.494,-589.905,17155,10,9
-6.051,313.113,-614.475,17155,10,9
-254.273,339.829,-476.363,17177,7,9
-65.544,255.206,-599.329,17352,11,9
-279.153,276.209,-562.471,17561,7,9
-155.599,250.142,-635.897,17836,7,9
-106.58,287.023,-574.47,21279,18,9
-182.963,259.289,-545.221,21336,18,9
-146.474,295.878,-620.191,22365,18,9
-153.982,205.739,-399.892,22649,18,9
-125.332,255.196,-622.474,22679,18,9
-15.782,336.723,-319.018,23867,14,9
-8.276,192.692,-633.042,24100,13,9
-118.5,41.184,-661.636,24115,13,9
-49.437,137.913,-572.665,24372,13,9
-36.994,286.159,-606.069,24373,13,9
-118.951,48.063,-650.183,24374,13,9
-2.042,118.876,-549.044,24375,13,9
-109.981,79.768,-551.524,24377,13,9
-141.503,160.329,-594.106,24391,13,9
-232.75,338.355,-637.471,24404,13,9
-134.034,313.095,-469.379,24420,14,9
-35.236,275.545,-554.022,24644,13,9
-18.807,255.519,-692.194,24650,13,9
-62.787,146.389,-570.495,24659,13,9
-119.216,21.569,-686.064,24661,13,9
-248.843,319.882,-680.413,24668,13,9
-56.534,141.467,-572.768,24669,13,9
-68.908,200.396,-337.502,24670,13,9
-156.727,313.59,-624.213,24919,13,9
-135.588,330.547,-466.375,24919,13,9
-182.856,299.073,-677.689,24935,13,9
-87.99,129.106,-488.302,24940,13,9
-80.375,246.331,-577.692,24943,13,9
-356.249,382.218,533.383,24956,13,9
-165.307,113.618,-691.013,24961,13,9
-135.045,348.857,-497.372,24963,13,9
-66.151,395.107,451.747,25014,14,9
-66.027,156.867,-502.615,25216,13,9
-188.461,267.385,-637.258,25222,13,9
-3.374,191.501,-634.767,25449,13,9
-79.577,129.412,-388.615,25449,13,9
-54.166,246.408,-644.555,25450,13,9
-19.838,28.751,-531.229,25452,13,9
-108.483,97.524,-590.99,25464,13,9
-69.044,151.626,-573.498,25468,13,9
-41.807,133.765,-571.443,25470,13,9
-228.418,308.979,-663.156,25473,13,9
-201.426,141.119,-627.013,25482,13,9
-151.328,306.772,-622.962,25493,10,9
-215.762,235.438,-519.573,25560,11,9
-12.018,195.392,-601.017,25703,13,9
-31.583,198.707,-585.293,25714,13,9
-78.205,205.247,-392.246,25737,10,9
-4.377,313.708,-615.606,25743,10,9
14.617,227.36,-599.096,25817,11,9
-204.772,234.182,-503.922,25840,11,9
-45.277,199.741,-580.458,25939,13,9
-15.26,130.136,-541.695,25948,10,9
-215.452,203.437,-556.18,25961,10,9
-47.991,245.442,-652.203,25961,10,9
-80.751,337.006,-583.323,25990,11,9
-116.669,225.889,-519.911,26047,11,9
-205.373,273.281,-483.393,26159,9,9
-162.643,200.348,-441.677,26161,9,9
78.757,252.911,-618.878,26171,10,9
-89.531,82.516,-437.286,26181,10,9
-182.792,318.009,-586.852,26191,10,9
26.78,109.438,-563.12,26202,10,9
-128.155,225.904,-531.796,26237,11,9
-40.028,272.334,-554.658,26240,11,9
-146.702,245.428,-469.872,26365,9,9
-74.653,119.363,-615.387,26367,9,9
-62.095,256.471,-559.491,26367,9,9
-101.864,216.86,-416.107,26368,9,9
-111.731,219.255,-380.52,26369,9,9
-180.898,255.993,-547.091,26371,9,9
-201.438,185.724,-593.506,26384,10,9
